2007	22	55	8	156	5	10	11	1	4	3293
2007	22	55	6	156	5	10	11	1	4	3123
2007	14	164	3	1059	5	20	14	0	17	4731
2007	15	33	5	200	10	15	15	1	17	3802
2007	14	60	10	1059	5	20	14	0	17	3622
2007	14	60	3	1059	5	20	14	0	17	4916
2007	21	128	4	713	5	15	8	1	6	4599
2007	21	85	11	713	5	15	8	1	6	6345
2007	22	55	7	156	5	10	11	1	4	3861
2007	21	85	7	118	5	10	10	1	13	3864
2007	14	85	2	1059	5	20	14	0	17	4977
2007	15	54	5	200	10	15	15	1	17	4224
2007	15	54	1	200	10	15	15	1	17	3645
2007	15	33	3	200	10	15	15	1	17	4037
2007	0	81	18	1270	5	20	7	2	10	7856
2007	21	105	7	713	5	15	8	1	6	5510
2007	0	81	3	1270	5	20	7	2	10	8063
2007	0	153	39	1270	5	20	7	2	10	10284
2007	1	84	10	304	10	20	8	0	11	7005
2007	0	81	13	1270	5	20	7	2	10	8601
2007	22	55	5	156	5	10	11	1	4	3009
2007	22	63	7	156	5	10	11	1	4	3451
2007	14	164	15	1059	5	20	14	0	17	4731
2007	15	33	13	200	10	15	15	1	17	4084
2007	14	85	9	1059	5	20	14	0	17	5688
2007	15	33	5	200	10	15	15	1	17	4225
2007	14	60	18	1059	5	20	14	0	17	5434
2007	14	135	17	1059	5	20	14	0	17	4594
2007	15	60	7	221	10	20	9	0	14	4554
2007	14	60	17	1059	5	20	14	0	17	5020
2007	14	60	12	1059	5	20	14	0	17	5744
2007	15	33	8	200	10	15	15	1	17	3755
2007	14	60	14	1059	5	20	14	0	17	5589
2007	2	69	8	865	5	10	13	0	15	7491
2007	0	81	7	1270	5	20	7	2	10	8562
2007	0	81	7	1270	5	20	7	2	10	7871
2007	22	55	9	156	5	10	11	1	4	3577
2007	0	124	10	612	5	20	8	1	5	9818
2007	0	134	16	612	5	20	8	1	5	9994
2007	0	157	22	612	5	20	8	1	5	10314
2007	0	138	4	612	5	20	8	1	5	9146
2007	0	124	3	612	5	20	8	1	5	8919
2007	0	138	3	612	5	20	8	1	5	8854
2007	0	157	25	612	5	20	8	1	5	10373
2007	0	157	3	612	5	20	8	1	5	9111
2007	0	138	3	612	5	20	8	1	5	8854
2007	0	124	4	612	5	20	8	1	5	9219
2007	0	138	4	612	5	20	8	1	5	8854
2007	0	138	5	612	5	20	8	1	5	8854
2007	0	138	8	612	5	20	8	1	5	9439
2007	0	138	4	612	5	20	8	1	5	9146
2007	0	138	6	612	5	20	8	1	5	9146
2007	14	85	1	1059	5	20	14	0	17	4558
2007	2	85	8	865	5	10	13	0	15	6746
2007	14	60	15	1059	5	20	14	0	17	5072
2007	14	164	4	1059	5	20	14	0	17	3690
2007	15	33	4	200	10	15	15	1	17	3849
2007	15	54	14	200	10	15	15	1	17	3934
2007	15	54	8	200	10	15	15	1	17	4050
2007	15	60	16	221	10	20	9	0	14	4787
2007	0	81	8	1270	5	20	7	2	10	8293
